ID,Category,Page,Issue,Description,Fix,Priority,Roadmap ref,Status
AS-111,Contact page,/contact-us/,Three contact pages,"/contact-us/ (54 words), /book-a-call/ (68 words, orphan) and /lets-talk/ (50 words) all do the same job.","Keep /contact-us/ with an H1, the address and phone already in schema, 150+ words and the booking embed. 301 the other two (or noindex /book-a-call/ if the embed must stay separate).",P2,R20,
AS-112,Book a call page,/book-a-call/,Title does not say what the page is,"Current title tag: ""Book a Call - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""[Service] for Amazon Brands: Albert Scott"". Keep it under 65 characters where possible.",P1,R7,
AS-113,Book a call page,/book-a-call/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-114,Book a call page,/book-a-call/,No H1,"The page has no H1 heading, so the main topic is not declared to crawlers.","Set the page headline as an H1 (About: ""About Albert Scott""; Contact: ""Contact Albert Scott""; Gallery: ""Amazon Listing and A+ Content Portfolio"").",P2,R9,
AS-115,Book a call page,/book-a-call/,Images without alt text,2 of 2 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-116,Book a call page,/book-a-call/,Almost no internal links point here,0 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-117,Book a call page,/book-a-call/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-118,Book a call page,/book-a-call/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-119,Location page,/our-location/,Title does not say what the page is,"Current title tag: ""Our Location - Albert Scott"". It carries no term a buyer would search for, so the page cannot appear for service queries and the og:title (which copies it) is equally blank.","Change the SEO title in AIOSEO to: ""Amazon Agency in New York: Albert Scott, Inwood NY"". Keep it under 65 characters where possible.",P1,R7,
AS-120,Location page,/our-location/,No meta description,"The page has no meta description, so search results and answer engines pick their own snippet from the page.","Write a 120 to 155 character description in AIOSEO stating what the page offers and for whom, using claims already on the page.",P1,R8,
AS-121,Location page,/our-location/,No H1,"The page has no H1 heading, so the main topic is not declared to crawlers.","Set the page headline as an H1 (About: ""About Albert Scott""; Contact: ""Contact Albert Scott""; Gallery: ""Amazon Listing and A+ Content Portfolio"").",P2,R9,
AS-122,Location page,/our-location/,Thin content,"About 120 words of body copy. Competitor service pages that rank run 1,400 to 14,800 words.","Expand to at least 900 words using the /dsp/ page structure: definition, what is included, how it connects to the other divisions, results, FAQ.",P2,R11,
AS-123,Location page,/our-location/,Images without alt text,4 of 4 images have empty alt attributes.,Add descriptive alt text to every image in the Media Library.,P2,R10,
AS-124,Location page,/our-location/,Almost no internal links point here,0 inbound link(s) from other pages. The page is reachable mainly via the sitemap.,"Link to it from the homepage divisions section, the relevant division page and the related articles.",P2,R18,
AS-125,Location page,/our-location/,Body copy links to almost nothing,"1 link(s) in the body beyond nav and footer. Related case studies, articles and sibling divisions are not linked.","Add contextual links: division pages link their case studies, related articles and /dsp/; the homepage links all four divisions and /dsp/ directly.",P2,R18,
AS-126,Location page,/our-location/,No call to action in the first mobile screen,"On a 390px screen the only CTA above the fold is the Contact button, which sits inside the hamburger menu. The homepage is the only page with a visible button (""GET MY FREE AUDIT"").","Add a visible button under the H1 on every primary page (Book a call, Get my free audit) that is present on mobile without opening the menu.",P2,R20,
AS-127,Location page,/our-location/,Location page is thin and orphaned,"120 words, no H1, no meta description, no inbound links. The Inwood NY office and warehouse fact only appears here. ""Amazon agency New York"" is won by city pages.","Expand into a New York agency page (office and warehouse near JFK, address, phone, what the warehouse does) or 301 to /about-us/.",P2,G4,
AS-128,Blog posts,"/blog/mouthwatchers/, /blog/tabanero/, /blog/yumvs/, /blog/atlas-olive-oil-spray/, /blog/objet-dart/, /blog/rae-dunn/, /blog/jose-gourmet/, /blog/73-originals/",Eight brand write-ups duplicate case studies and projects,These posts are 61 to 139 words each and repeat what the project and case study pages show. Four have no inbound links.,Merge each into its case study or project page and 301 the post. Keep the five real articles.,P2,R12,
AS-129,Blog posts,5 articles,Articles are not linked from service pages,"The TACoS, DSP, keyword targeting, Subscribe and Save and logistics articles are the best-scoring pages on the site (7.5 to 8.0) but no division page links to them.",Link each article from the matching division page and from /newsroom/ or the new /blog/ index.,P2,R18,
AS-130,Portfolio projects,23 pages under /project/,Project pages are image galleries with no text,"Each project page has 10 to 14 words (""Project Scope: Full Graphic Optimization""), no meta description, no alt text and one inbound link from the gallery. They carry nothing an engine can index.","Either write 150 to 300 words per project (brand, category, what was built, which division) with alt text on every image, or noindex all 23 and keep them as gallery items.",P2,R13,
AS-131,Portfolio projects,/project/national-public-seatinf/,"Slug typo ""seatinf""","The project slug misspells ""seating"".",Rename the slug and let WordPress redirect.,P3,R13,
AS-132,"Triage (legacy, test, duplicate)",/home/,Old homepage still live,"Title ""Albert Scott - A Full Service Amazon Agency"", 6 H1s, 1,053 words, indexable. Competes with /.",301 to /,P2,R1,
AS-133,"Triage (legacy, test, duplicate)",/amazon-management-agency/,"Legacy landing page, title in caps","""FULL SERVICE AMAZON GROWTH AGENCY"", 425 words, no H1, shortcode in body, indexed by search.",Rebuild as the account management page (growth plan G2) or 301 to /,P2,R1,
AS-134,"Triage (legacy, test, duplicate)",/for-amazon-brands/ and /for-amazon-brandsv2/,Two ad landing pages indexable,"205 and 208 words, v2 duplicates v1, no inbound links.",Noindex both if still used for ads; otherwise 301 to /,P2,R1,
AS-135,"Triage (legacy, test, duplicate)","/amazon-growth-audit/, /amazon-growth-audit-v2/, /form-ads-test/",Form test pages indexable,"Titles ""Form Ads"", ""Form Ads v2"", ""Form Ads - TEST""; 0 to 363 words.",Noindex the live one; delete the tests,P2,R1,
AS-136,"Triage (legacy, test, duplicate)","/services/, /services-2/, /our-service/, /additional-services/, /overview/",Five legacy services pages,"2019 to 2022 pages with raw [vc_row] shortcode in body and meta description; duplicate titles ""Services"".",301 all five to /,P2,R1,
AS-137,"Triage (legacy, test, duplicate)",/marketing-division-2/,Duplicate marketing page,"405 words, indexable, own meta description.",301 to the marketing division page,P2,R1,
AS-138,"Triage (legacy, test, duplicate)",/retail-management/,Duplicate retail page,"125 words, 1 inbound link.",301 to /retail-division/,P2,R1,
AS-139,"Triage (legacy, test, duplicate)",/university/,Duplicate university page,148 words.,301 to /albert-scott-university/,P2,R1,
AS-140,"Triage (legacy, test, duplicate)","/portfolio/, /recent-success/, /videos/",Legacy portfolio pages,"70 to 300 words, shortcode leaks on two.",301 to /listings-portfolio-gallery/,P2,R1,
AS-141,"Triage (legacy, test, duplicate)","/our-story/, /our-team/, /our-management/, /our-world-wide-team/, /niftyone-custom-portal/",Legacy about pages,2018 to 2020 pages with shortcode leaks; /our-story/ holds the founding story that /about-us/ lacks.,"Move the founding story into /about-us/, then 301 all five to /about-us/",P2,R1,
AS-142,"Triage (legacy, test, duplicate)",/clients/,Legacy clients page,Indexed by search; logo wall with no alt text.,301 to /case-studies/ or rebuild with alt text,P2,R1,
AS-143,"Triage (legacy, test, duplicate)","/lets-talk/, /book-a-call/",Duplicate contact pages,50 and 68 words; /book-a-call/ is an orphan with no H1 or meta.,301 to /contact-us/ (keep one noindexed booking page if the embed is needed),P2,R1,
AS-144,"Triage (legacy, test, duplicate)",/thankyou/ and /thank-you/,"Two thank-you pages, both indexable",Duplicate titles; 102 and 180 words.,301 /thankyou/ to /thank-you/; noindex /thank-you/,P2,R1,
AS-145,"Triage (legacy, test, duplicate)","/test-page/, /test-modules/, /hero/, /sample-page/",Test and sample pages live,Includes the WordPress default Sample Page and a test page linking two 404s.,Delete (410),P2,R1,
AS-146,Junk URLs,7 category archives,"Indexable, in sitemap",1 to 3 posts each.,"Noindex, remove from sitemap",P1,R4,
AS-147,Junk URLs,2 tag archives,"Indexable, in sitemap",1 post each.,"Noindex, remove from sitemap, delete the tags",P1,R4,
AS-148,Junk URLs,10 project_category archives,"Indexable, in sitemap, under /blog/ prefix",389 words sampled.,"Noindex, remove from sitemap",P1,R4,
AS-149,Junk URLs,/project/ archive,"Indexable, in sitemap, no meta",562 words.,301 to /listings-portfolio-gallery/,P1,R4,
AS-150,Junk URLs,4 author archives,Indexable,Two unfamiliar account slugs exposed.,Noindex; verify accounts,P1,R4,
AS-151,Junk URLs,"Attachment pages (1,075)",Already redirect to file,"Two sampled, both 301.",No action; re-sample monthly,P1,R4,
