priority,show,exhibitor,amazon_presence_summary,smartscout_brand,monthly_revenue_usd,total_products,avg_rating,total_reviews,primary_subcategory,amazon_url,search_term,org_type_flag,smartscout_checked,match_confidence,other_candidates,google_amazon_presence,google_note,amazon_direct_search,amazon_direct_search_note,amazon_brand_name,amazon_store_url,amazon_sold_by,amazon_verified,SS_Brand_Match,SS_Match_Confidence,SS_Category,SS_Subcategory,SS_Monthly_Revenue,SS_TTM_Revenue,SS_Total_Products,SS_Total_Reviews,SS_Avg_Rating,SS_Avg_Price,SS_Avg_Sellers,SS_Single_Seller_Name,SS_Amazon_1P_Pct,SS_MoM_Growth,SS_12M_MoM_Growth,SS_Has_Storefront,SS_Storefront_URL,SS_Top_Products,SS_Seller_Coverage,SS_Seller_Count,SS_Seller_Type,SS_Reseller_Share_Pct,Angle,Angle_Data_Points,Subject,Email,QA_Flags,Processed_At
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,American Backcountry,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/stores/AmericanBackcountry/page/69205140-8B9E-4D4C-A977-CE1BDA149A61,American Backcountry,,Yes,none,,Yes,Amazon storefront found,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,Not found; industry-level: storefront exists but no measurable sales in marketplace data,No brand record on two attempts; sheet: Amazon storefront found,American Backcountry on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, American Backcountry has an Amazon storefront, but the listings aren't registering measurable sales in the public marketplace data we look at. Park and destination apparel is a real Amazon category, since people search for the shirt they saw on a trip, and a storefront that isn't being run mostly sends that demand elsewhere.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:15:19
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Avalon Meat Candy,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Avalon-Meat-Candy-Crispy-protein/dp/B0H8BX2P1X,Avalon Meat Candy,,Yes,none,,Yes,beef jerky chips listed on amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: one jerky chips listing, no measurable sales",No brand record on two attempts; sheet: beef jerky chips listed on Amazon,Avalon Meat Candy on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Avalon Meat Candy is on Amazon with a jerky chips listing that isn't registering measurable sales in public marketplace data. Jerky and meat snacks are one of the stronger gift-shop categories on Amazon, since customers reorder after the trip, and it takes content, advertising and reviews on the listing to catch that.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:15:19
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Bigfoot Sock Co / Sock Harbor,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Clothing-Shoes-Jewelry-Bigfoot-Sock-Co/s?rh=n%3A7141123011%2Cp_4%3ABigfoot%2BSock%2BCo.,Bigfoot Sock,,Yes,none,,Yes,Bigfoot Sock Co. brand page on amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: brand page exists, no measurable sales in marketplace data",No brand record on two attempts; sheet: Bigfoot Sock Co. brand page on Amazon,Bigfoot Sock Co on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Bigfoot Sock Co has a brand page on Amazon, but the listings aren't registering measurable sales in public marketplace data. Novelty socks are a big Amazon gift category, especially in Q4, and the brands that win there own their listings and run advertising on them rather than relying on the gift-shop customer to find them.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",combined exhibitor name; queried Bigfoot Sock Co. (Sock Harbor not queried); no brand record on two attempts; industry-level email,2026-09-25T16:15:19
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Blue Planet Eco-Eyewear,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Colored-Glasses-Blue-Planet-Eco-Eyewear/dp/B0H95VWCGH,Blue Planet Eco-Eyewear,,Yes,none,,Yes,Blue Planet Eco-Eyewear products listed on amazon,Not needed,,,,,SmartScout,Blue Planet,wrong match,,,,,,,,,,,,,,,,,,,,,"Wrong match; industry-level: eyewear listed, no brand record",'Blue Planet' record is Blue Planet Surf balance boards; sheet: Blue Planet Eco-Eyewear products listed,Blue Planet Eco-Eyewear on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Blue Planet Eco-Eyewear is on Amazon, but the listings aren't registering measurable sales in the public marketplace data we look at. Sunglasses are one of the most searched gift categories on Amazon, and an eco story is a real differentiator there if the content, advertising and reviews are actually built.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",'Blue Planet' matched Blue Planet Surf (balance boards); full name returned empty; industry-level email,2026-09-25T16:15:19
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Boardwalk Puzzles,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/London-Boardwalk-Piece-Jigsaw-Puzzle/dp/B0D88FB937,Boardwalk Puzzles,,Yes,none,,Yes,Boardwalk Puzzles listings and Dowdle storefront page,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: puzzle listings exist, no measurable sales in marketplace data",No brand record on two attempts; sheet: Boardwalk Puzzles listings and Dowdle storefront page,Boardwalk Puzzles on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Boardwalk Puzzles has listings on Amazon, but they aren't registering measurable sales in the public marketplace data we look at. Jigsaw puzzles are a strong Amazon category with a big Q4, and destination and city puzzles in particular sell to people who bought one on a trip and want the next.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
","no brand record on two attempts (Boardwalk Puzzles, Boardwalk Puzzle); sheet mentions a Dowdle storefront page, not queried; industry-level email",2026-09-25T16:15:19
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Conscious Step,YES on Amazon (direct Amazon verification),,,,,,,https://www.amazon.com/stores/ConsciousStep/page/D1D83D9A-1E78-474E-8423-82A22440F606,Conscious Step,,No (SmartScout monthly quota exhausted),,,Not checked (search budget exhausted),,Yes,Brand store; sold by Conscious Step,Conscious Step,https://www.amazon.com/stores/ConsciousStep/page/D1D83D9A-1E78-474E-8423-82A22440F606,Brand (Seller Central),Yes,Conscious Step,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: brand storefront, sold direct, no measurable sales in marketplace data","Record exists with 0 products; sheet: brand store, sold by Conscious Step",Conscious Step on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Conscious Step has a brand storefront on Amazon and sells direct, but the listings aren't registering measurable sales in public marketplace data. Cause-driven socks are a strong gift search on Amazon, and the difference between a storefront that sits there and one that sells is usually content, advertising and reviews.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",brand record returned 0 products on two attempts; industry-level email; sheet Brand (Seller Central),2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Cuppa Inc,YES on Amazon (direct Amazon verification),,,,,,,https://www.amazon.com/stores/CuppaHealthyCoffee/page/8F74F86B-0BEB-44B7-AB25-ECDF3280E681,Cuppa,,No (SmartScout monthly quota exhausted),,,Not checked (search budget exhausted),,Yes,Brand store; sold by Cuppa Healthy Coffee,Cuppa Healthy Coffee,https://www.amazon.com/stores/CuppaHealthyCoffee/page/8F74F86B-0BEB-44B7-AB25-ECDF3280E681,Brand (Seller Central),Yes,Cuppa Healthy Coffee,exact,Grocery & Gourmet Food,Instant Coffee,570233.53,7685608.47,34,4893,4.38,37.95,0.97,,0,-0.134,,True,,"Cuppa Medium Roast Mushroom Coffee with Adaptogens (30 Servings) | B0DDYBG1XN | $132,660; Cuppa Coffee Medium Roast with Mushrooms and Adaptogens (60 Servings) | B0DK2M4LM5 | $106,076; Cuppa Medium Roast Mushroom Coffee Pods (24 Servings) | B0DDYDSCY4 | $38,559; Cuppa Salted Caramel Mushroom Coffee (30 Servings) | B0FB9L48TR | $37,530; Cuppa French Vanilla Mushroom Coffee (30 Servings) | B0FSSX142Q | $37,020",Cuppa Healthy Coffee: 100%,1,Brand direct,0,"Strong brand-direct position (~$570k a month); month down ~13% in a crowded, ad-heavy category; second-set-of-eyes ask","Cuppa Healthy Coffee 100%; monthly rev ~$570k; 34 products; 4,893 reviews; MoM -13.4%; top listing ~$133k/mo",Cuppa on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Cuppa is doing about $570k a month on Amazon through your own account, with the 30 serving mushroom coffee carrying it. The month looks to be down about 13%, and mushroom coffee is a category where rank moves fast because everyone is spending on ads. I know you have people on this, so this is a second set of eyes rather than a pitch.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Open to a 20 minute look at where the dip is coming from?

Yoni
",sheet Brand (Seller Central) confirmed,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Deluxebase (USA) Inc,YES on Amazon (direct Amazon verification),,,,,,,https://www.amazon.com/stores/Deluxebase/page/5C604107-D64C-437F-93CB-B6F217CDC8FF,Deluxebase,,No (SmartScout monthly quota exhausted),,,Not checked (search budget exhausted),,Yes,Brand store; sold by Deluxebase,Deluxebase,https://www.amazon.com/stores/Deluxebase/page/5C604107-D64C-437F-93CB-B6F217CDC8FF,Brand (Seller Central),Yes,Deluxebase,exact,Home & Kitchen,Snow Globes,1129.85,68504.26,31,2914,4.18,9.24,0.97,Deluxebase,0.9,-0.005,,False,,Water Globe - Red Panda from Deluxebase | B09WRQB7XZ | $94; Water Globe - Polar Bear from Deluxebase | B09WRT1ZHF | $80; Water Globe - Wolf from Deluxebase | B08HJMQKPK | $80; Water Globe - Reef Fish from Deluxebase | B08KYJVDSY | $80; Water Globe - Parrot from Deluxebase | B08KYHGRGL | $75,Deluxebase: 99.1%; Amazon.com: 0.9%,2,Brand direct,0,Seasonal catalog (snow globes) at ~$1k a month now versus ~$68k trailing year; sold direct; Q4 prep angle,"Deluxebase 99.1%; monthly rev ~$1.1k; TTM ~$68.5k; 31 products; 2,914 reviews; rating 4.18",Deluxebase before Q4,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Deluxebase did close to $70k on Amazon over the trailing year, sold direct, but sits around $1k a month right now going into the season that carries it. With 31 snow globe listings and close to 3,000 reviews, the catalog is there. What tends to be missing is the Q4 plan: stock, advertising ramp and content refreshed before the November spike rather than during it.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to have a quick conversation before Q4?

Yoni
",sheet Brand (Seller Central) confirmed,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"Dutch American Import Co., Inc.","YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Dutch-American-Imports-Christmas-Ornament/dp/B0184HFQLI,Dutch American Import,,Yes,none,,Yes,Dutch American Imports Delft ornaments listed on Amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: Delft ornaments listed, no storefront, no measurable sales",No brand record on two attempts; sheet: Delft ornaments listed on Amazon,Dutch American Imports on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Dutch American Imports Delft ornaments show up on Amazon, but they aren't registering measurable sales in public marketplace data, and we don't see a brand storefront. Ornaments are one of the biggest Q4 gift searches on Amazon, so listings that aren't managed for content and advertising going into November mostly go unseen.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at going into the holidays?

Yoni
","no brand record on two attempts (Dutch American Import Co, Dutch American Imports); industry-level email",2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,END SMALL TALK,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/End-Small-Talk-Questions-Conversations/dp/B0CH25NFZM,END SMALL TALK,,Yes,none,,Yes,'End Small Talk' conversation card books/decks by Cory Stout listed on Amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: conversation card decks listed, no measurable sales",No brand record on two attempts; sheet: End Small Talk decks and books listed,END SMALL TALK on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, END SMALL TALK decks show up on Amazon, but they aren't registering measurable sales in public marketplace data. Conversation card games are a real Amazon category, with most of the volume around gifting, and what separates the ones that sell is reviews and advertising on the listing rather than the product itself.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Fifth Avenue Manufacturers,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Fifth-Avenue-Manufacturers-Vulcanized-Luggage/dp/B00J4F0OQM,Fifth Avenue Manufacturers,,Yes,none,NY Fifth Avenue (unrelated),Yes,Fifth Avenue Manufacturers souvenir pins/luggage tags listed on Amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: one luggage tag listing, no storefront, no measurable sales",No brand record on two attempts; sheet: souvenir pins and luggage tags listed,Fifth Avenue Manufacturers on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Fifth Avenue Manufacturers has a luggage tag listing on Amazon, but it isn't registering measurable sales in public marketplace data, and we don't see a brand storefront. Souvenir pins and tags are a steady Amazon search from travelers after the trip, and a single unmanaged listing doesn't rank into that.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
","no brand record on two attempts; industry-level email; weaker fit: souvenir manufacturer, likely wholesale-first",2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Forest Life Creations,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Forest-Life-Creations-Handmade-Chlorociboria/dp/B01JB32FDQ,Forest Life Creations,,Yes,none,,Yes,Forest Life Creations handmade earrings listed on Amazon,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: handmade earrings listing, no measurable sales",No brand record on two attempts; sheet: handmade earrings listed,Forest Life Creations on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Forest Life Creations has handmade earrings on Amazon, but the listing isn't registering measurable sales in public marketplace data. Handmade jewelry does sell on Amazon, mostly with real photography, reviews and advertising behind it, and a single listing rarely gets there on its own.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email; weaker fit: small handmade maker,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"Gear Lifestyle Brands (Champion, UA, Gear For Sports, Comfort Wash, Alternative Apparel)","YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/s?srs=19831160011,Gear Lifestyle,,Yes,none,retry 'Gear For Sports' also empty,Yes,Gear For Sports brand page on amazon.com (parent brands Champion/UA also on Amazon),Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: licensed collegiate apparel, brand page, no measurable sales under Gear For Sports","No brand record on two attempts; parent brands (Champion, UA) not queried since their Amazon data reflects the parent companies",Gear For Sports on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Gear For Sports has a brand page on Amazon, but the listings aren't registering measurable sales in public marketplace data, and the Champion and Under Armour volume on Amazon belongs to the parent brands rather than the licensed collegiate line. Alumni search a school name on Amazon, and that demand goes to whoever has a managed listing.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
","combined exhibitor name; queried Gear For Sports (licensee brand); Champion, UA, Comfort Wash, Alternative Apparel not queried; no brand record on two attempts; industry-level email",2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Gecko Hawaii,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/Gecko-Hawaii-Splatter-Throwback-Windbreaker/dp/B084X4JR3W,Gecko Hawaii,,Yes,none,,Yes,Gecko Hawaii apparel listed on Amazon (brand filter page and product pages),Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: apparel brand page, no measurable sales",No brand record on two attempts; sheet: apparel listed with brand filter page,Gecko Hawaii on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Gecko Hawaii apparel shows up on Amazon under a brand page, but the listings aren't registering measurable sales in public marketplace data. Destination and nostalgia brands get searched by name on Amazon long after the trip, and that only turns into sales if someone owns the listings and runs them.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"GetAGadget, Inc","YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/dp/B071SH27KD,GetAGadget,,Yes,none,,Yes,Getagadget mesh beach tote listed on Amazon (via price tracker),Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: one beach tote listing, no storefront, no measurable sales",No brand record on two attempts; sheet: mesh beach tote listed,GetAGadget on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, GetAGadget's mesh beach tote shows up on Amazon, but the listing isn't registering measurable sales in public marketplace data, and we don't see a brand storefront. Beach totes are a high-volume Amazon search every spring and summer, and a single unmanaged listing doesn't rank into that.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,"Global SWIBCO, Inc.","YES on Amazon (Google only, no SmartScout brand record)",,,,,,,"https://www.amazon.com/Stuffed-Animals-Plush-Toys-Swibco-Games/s?rh=n:166461011,p_4:Swibco",Global SWIBCO,,Yes,none,,Yes,Swibco plush/bobbleheads listed on Amazon (brand filter and product pages),Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: plush and bobbleheads brand page, no measurable sales","No brand record on two attempts (Global SWIBCO, Swibco); sheet: plush and bobbleheads listed",Swibco on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, Swibco plush and bobbleheads show up on Amazon under a brand page, but the listings aren't registering measurable sales in public marketplace data. Souvenir plush does real volume on Amazon around the holidays, and destination items in particular sell to people who saw them in a gift shop first.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at going into the holidays?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Glyder LLC,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/stores/Glyder/Homepage/page/542741A8-251A-422D-9DAC-1F33DFF77BEF,Glyder,,Yes,none,Glyderm; BeasyGlyder (unrelated),Yes,Amazon storefront 'Glyder' (apparel) found,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: apparel storefront, no measurable sales",No brand record on two attempts; sheet: Glyder apparel storefront found,Glyder on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Glyder has an Amazon storefront for the apparel, but the listings aren't registering measurable sales in public marketplace data. Activewear on Amazon is competitive, but it's also where a brand's existing customers go to rebuy, and a storefront that isn't run for content, advertising and reviews mostly sends them to the big names.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,GUIDES CHOICE,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/stores/GuidesChoice/page/D56D95FA-551F-4055-9363-CE2647940B57,GUIDES CHOICE,,Yes,none,,Yes,Amazon storefront 'Guides Choice' found,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: storefront exists, no measurable sales",No brand record on two attempts; sheet: Guides Choice storefront found,Guides Choice on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Guides Choice has an Amazon storefront, but the listings aren't registering measurable sales in the public marketplace data we look at. That usually means the channel was set up and left, and the gap between that and a storefront that sells is content, advertising and review work on the listings.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,LEIGHTWORKS,"YES on Amazon (Google only, no SmartScout brand record)",,,,,,,https://www.amazon.com/s?i=merchant-items&me=A3NSMW915SXJMV,LEIGHTWORKS,,Yes,none,,Yes,Amazon merchant storefront and product listings found,Not needed,,,,,SmartScout,,not found,,,,,,,,,,,,,,,,,,,,,"Not found; industry-level: own seller account, no brand storefront, no measurable sales",No brand record on two attempts; sheet: merchant storefront and listings found,LEIGHTWORKS on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, LEIGHTWORKS sells on Amazon through its own seller account, but the listings aren't registering measurable sales in public marketplace data and there's no brand storefront. That usually means the account was set up and left, and the difference between that and a channel that sells is content, advertising and reviews on the listings.

We recently helped a brand go from no Amazon presence to a $1M+ annual run rate within six months. We manage the channel end to end.

Is Amazon something you're looking at more seriously?

Yoni
",no brand record on two attempts; industry-level email,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,Members Only,YES on Amazon (direct Amazon verification),,,,,,,https://www.amazon.com/stores/MembersOnly/page/895182A2-14C3-4A79-B50F-436E439697F4,Members Only,,No (SmartScout monthly quota exhausted),,,Not checked (SmartScout monthly AI quota exhausted),row not processed - rerun when SmartScout quota resets,Yes,Brand store; sold by Members Only Official,Members Only,https://www.amazon.com/stores/MembersOnly/page/895182A2-14C3-4A79-B50F-436E439697F4,Brand (Seller Central),Yes,Members Only,exact,"Clothing, Shoes & Jewelry",Men's Windbreakers,46479.31,873962,1169,7294,4.35,83.16,0.76,Members Only Official,1.4,-0.062,,True,,"Members Only Men's Big & Tall Classic Iconic Racer Jacket (Grey, 3XL) | B07CKWJRKX | $1,062; Members Only Men's Classic Iconic Racer Jacket (Light Grey, XL) | B0777BNDWP | $972; Members Only Men's Classic Iconic Racer Jacket (Grey, Large) | B01BSYXRHO | $972; Members Only Men's Classic Iconic Racer Jacket (Black, 2XL) | B01BSYXNN2 | $972; Members Only Men's Classic Iconic Racer Jacket (Black, Large) | B01BSYXO0Y | $864",Members Only Official: 98.4%; Amazon.com: 1.4%; Lifestyle Brands NYC: 0.2%,3,Brand direct,0.2,"Close to 1,200 listings doing ~$46k a month combined (under $50 per listing); sold direct; month down ~6%","Members Only Official 98.4%; monthly rev ~$46k; 1,169 products; 7,294 reviews; MoM -6.2%; Iconic Racer variants top",Members Only catalog on Amazon,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

From what we can see, Members Only has close to 1,200 listings on Amazon doing about $46k a month combined, sold through your own account. That's under $50 per listing, with the Iconic Racer doing most of it. For a brand with this much name recognition, that's a catalog problem rather than a demand problem: variation structure, content and advertising spread across too many SKUs.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Open to a short call on where the catalog is leaving volume?

Yoni
",sheet Brand (Seller Central) confirmed,2026-09-25T16:21:46
1 - Confirmed on Amazon,Las Vegas Souvenir & Resort Gift Show 2026,MV Sport,YES on Amazon (direct Amazon verification),,,,,,,https://www.amazon.com/stores/MVSport/page/757FD38E-B84A-4132-B6BF-C0128D17DDD6,MV Sport,,No (SmartScout monthly quota exhausted),,,Not checked (SmartScout monthly AI quota exhausted),row not processed - rerun when SmartScout quota resets,Yes,Brand store; sold by MV Sport,MV Sport,https://www.amazon.com/stores/MVSport/page/757FD38E-B84A-4132-B6BF-C0128D17DDD6,Brand (Seller Central),Yes,MV Sport,exact,Home & Kitchen,Bed Throws,16183.84,474549.18,62,3929,4.37,35.21,1.89,MV Sport,0,-0.03,,True,,MV Sport Lightweight Sweatshirt Blanket Throw 54 x 84 Black | B08GNH1C6B | $520; MV Sport Sweatshirt Blanket Poncho Hoodie Navy Heather | B087R78TK6 | $500; MV Sport Lightweight Sweatshirt Blanket Throw Dusty Olive | B08GNF8P86 | $480; MV Sport Lightweight Sweatshirt Blanket Throw Gumdrop | B0GLYPJQQL | $480; MV Sport Lightweight Sweatshirt Blanket Throw Vintage Blue | B0GLYNY297 | $480,MV Sport: 94.2%; EZ Sportzwear: 5.6%; Grit & Garb: 0.1%; OnUs: 0.1%; The Golf Prose: 0%,5,Brand direct,5.8,"Small footprint for a major team and school supplier: ~$16k a month across ~60 listings, sold direct; Q4 blanket category","MV Sport 94.2%; EZ Sportzwear 5.6%; monthly rev ~$16k; 62 products; 3,929 reviews; MoM -3%",MV Sport before Q4,"Hi {{first_name}},

Saw you're exhibiting at the Las Vegas Souvenir & Resort Gift Show next week.

Looking at your listings, MV Sport is on Amazon at about $16k a month across roughly 60 listings, sold direct, with the sweatshirt blankets carrying it at a few hundred dollars each. Close to 4,000 reviews says the product lands. For a company that supplies as many schools and teams as MV Sport, Amazon looks like a side project, and the Q4 blanket category is big enough to be more.

We manage Amazon for brands end to end, including strategy, content, advertising, inventory and operations.

Would it make sense to have a quick conversation before Q4?

Yoni
",sheet Brand (Seller Central) confirmed,2026-09-25T16:21:46
